neighborhood,total,no_show_rate
AEROPORTO,5,0.2
ANDORINHAS,1524,0.32217847769028873
ANTÔNIO HONÓRIO,180,0.2388888888888889
ARIOVALDO FAVALESSA,175,0.32571428571428573
BARRO VERMELHO,285,0.2771929824561403
BELA VISTA,1113,0.29020664869721474
BENTO FERREIRA,659,0.27921092564491656
BOA VISTA,221,0.248868778280543
BONFIM,1708,0.3003512880562061
CARATOÍRA,1691,0.3199290360733294
CENTRO,2270,0.28766519823788544
COMDUSA,237,0.2320675105485232
CONQUISTA,472,0.298728813559322
CONSOLAÇÃO,808,0.27722772277227725
CRUZAMENTO,1025,0.2751219512195122
DA PENHA,1367,0.2801755669348939
DE LOURDES,222,0.20270270270270271
DO CABRAL,362,0.22099447513812154
DO MOSCOSO,306,0.28431372549019607
DO QUADRO,558,0.21863799283154123
ENSEADA DO SUÁ,163,0.294478527607362
ESTRELINHA,344,0.26453488372093026
FONTE GRANDE,469,0.3049040511727079
FORTE SÃO JOÃO,1293,0.23511214230471772
FRADINHOS,193,0.24352331606217617
GOIABEIRAS,533,0.22889305816135083
GRANDE VITÓRIA,707,0.27157001414427157
GURIGICA,1105,0.38371040723981903
HORTO,114,0.35964912280701755
ILHA DAS CAIEIRAS,670,0.2835820895522388
ILHA DE SANTA MARIA,1284,0.26869158878504673
ILHA DO BOI,23,0.08695652173913043
ILHA DO FRADE,8,0.25
ILHA DO PRÍNCIPE,1503,0.3253493013972056
ILHAS OCEÂNICAS DE TRINDADE,2,1.0
INHANGUETÁ,785,0.24331210191082803
ITARARÉ,2381,0.36497270054598907
JABOUR,1682,0.2556480380499406
JARDIM CAMBURI,5213,0.2606944178016497
JARDIM DA PENHA,2655,0.2248587570621469
JESUS DE NAZARETH,1755,0.3749287749287749
JOANA D´ARC,852,0.2805164319248826
JUCUTUQUARA,480,0.2604166666666667
MARIA ORTIZ,3730,0.30509383378016086
MARUÍPE,1359,0.29654157468727005
MATA DA PRAIA,462,0.21861471861471862
MONTE BELO,625,0.2592
MORADA DE CAMBURI,78,0.20512820512820512
MÁRIO CYPRESTE,173,0.27167630057803466
NAZARETH,108,0.26851851851851855
NOVA PALESTINA,1186,0.2900505902192243
PARQUE MOSCOSO,594,0.2760942760942761
PIEDADE,274,0.3029197080291971
PONTAL DE CAMBURI,41,0.2926829268292683
PRAIA DO CANTO,669,0.2571001494768311
PRAIA DO SUÁ,945,0.29735449735449737
REDENÇÃO,931,0.27604726100966703
REPÚBLICA,592,0.22972972972972974
RESISTÊNCIA,2818,0.3041163946061036
ROMÃO,1422,0.3073136427566807
SANTA CECÍLIA,349,0.335243553008596
SANTA CLARA,381,0.33858267716535434
SANTA HELENA,126,0.2777777777777778
SANTA LUÍZA,284,0.2323943661971831
SANTA LÚCIA,298,0.25838926174496646
SANTA MARTHA,1648,0.2809466019417476
SANTA TEREZA,865,0.26473988439306356
SANTO ANDRÉ,1614,0.2936802973977695
SANTO ANTÔNIO,1621,0.25478099938309684
SANTOS DUMONT,877,0.34891676168757124
SANTOS REIS,353,0.26628895184135976
SEGURANÇA DO LAR,103,0.2524271844660194
SOLON BORGES,337,0.19287833827893175
SÃO BENEDITO,826,0.31113801452784506
SÃO CRISTÓVÃO,1274,0.271585557299843
SÃO JOSÉ,1376,0.2710755813953488
SÃO PEDRO,1584,0.2847222222222222
TABUAZEIRO,1924,0.2733887733887734
UNIVERSITÁRIO,112,0.2767857142857143
VILA RUBIM,598,0.22742474916387959
