neighborhood,no_show_rate
ILHA DO BOI,0.08695652173913043
SOLON BORGES,0.19287833827893175
AEROPORTO,0.2
DE LOURDES,0.20270270270270271
MORADA DE CAMBURI,0.20512820512820512
MATA DA PRAIA,0.21861471861471862
DO QUADRO,0.21863799283154123
DO CABRAL,0.22099447513812154
JARDIM DA PENHA,0.2248587570621469
VILA RUBIM,0.22742474916387959
GOIABEIRAS,0.22889305816135083
REPÚBLICA,0.22972972972972974
COMDUSA,0.2320675105485232
SANTA LUÍZA,0.2323943661971831
FORTE SÃO JOÃO,0.23511214230471772
ANTÔNIO HONÓRIO,0.2388888888888889
INHANGUETÁ,0.24331210191082803
FRADINHOS,0.24352331606217617
BOA VISTA,0.248868778280543
ILHA DO FRADE,0.25
SEGURANÇA DO LAR,0.2524271844660194
SANTO ANTÔNIO,0.25478099938309684
JABOUR,0.2556480380499406
PRAIA DO CANTO,0.2571001494768311
SANTA LÚCIA,0.25838926174496646
MONTE BELO,0.2592
JUCUTUQUARA,0.2604166666666667
JARDIM CAMBURI,0.2606944178016497
ESTRELINHA,0.26453488372093026
SANTA TEREZA,0.26473988439306356
SANTOS REIS,0.26628895184135976
NAZARETH,0.26851851851851855
ILHA DE SANTA MARIA,0.26869158878504673
SÃO JOSÉ,0.2710755813953488
GRANDE VITÓRIA,0.27157001414427157
SÃO CRISTÓVÃO,0.271585557299843
MÁRIO CYPRESTE,0.27167630057803466
TABUAZEIRO,0.2733887733887734
CRUZAMENTO,0.2751219512195122
REDENÇÃO,0.27604726100966703
PARQUE MOSCOSO,0.2760942760942761
UNIVERSITÁRIO,0.2767857142857143
BARRO VERMELHO,0.2771929824561403
CONSOLAÇÃO,0.27722772277227725
SANTA HELENA,0.2777777777777778
BENTO FERREIRA,0.27921092564491656
DA PENHA,0.2801755669348939
JOANA D´ARC,0.2805164319248826
SANTA MARTHA,0.2809466019417476
ILHA DAS CAIEIRAS,0.2835820895522388
DO MOSCOSO,0.28431372549019607
SÃO PEDRO,0.2847222222222222
CENTRO,0.28766519823788544
NOVA PALESTINA,0.2900505902192243
BELA VISTA,0.29020664869721474
PONTAL DE CAMBURI,0.2926829268292683
SANTO ANDRÉ,0.2936802973977695
ENSEADA DO SUÁ,0.294478527607362
MARUÍPE,0.29654157468727005
PRAIA DO SUÁ,0.29735449735449737
CONQUISTA,0.298728813559322
BONFIM,0.3003512880562061
PIEDADE,0.3029197080291971
RESISTÊNCIA,0.3041163946061036
FONTE GRANDE,0.3049040511727079
MARIA ORTIZ,0.30509383378016086
ROMÃO,0.3073136427566807
SÃO BENEDITO,0.31113801452784506
CARATOÍRA,0.3199290360733294
ANDORINHAS,0.32217847769028873
ILHA DO PRÍNCIPE,0.3253493013972056
ARIOVALDO FAVALESSA,0.32571428571428573
SANTA CECÍLIA,0.335243553008596
SANTA CLARA,0.33858267716535434
SANTOS DUMONT,0.34891676168757124
HORTO,0.35964912280701755
ITARARÉ,0.36497270054598907
JESUS DE NAZARETH,0.3749287749287749
GURIGICA,0.38371040723981903
ILHAS OCEÂNICAS DE TRINDADE,1.0
