neighborhood,total_appointments
JARDIM CAMBURI,5213
MARIA ORTIZ,3730
RESISTÊNCIA,2818
JARDIM DA PENHA,2655
ITARARÉ,2381
CENTRO,2270
TABUAZEIRO,1924
JESUS DE NAZARETH,1755
BONFIM,1708
CARATOÍRA,1691
JABOUR,1682
SANTA MARTHA,1648
SANTO ANTÔNIO,1621
SANTO ANDRÉ,1614
SÃO PEDRO,1584
ANDORINHAS,1524
ILHA DO PRÍNCIPE,1503
ROMÃO,1422
SÃO JOSÉ,1376
DA PENHA,1367
MARUÍPE,1359
FORTE SÃO JOÃO,1293
ILHA DE SANTA MARIA,1284
SÃO CRISTÓVÃO,1274
NOVA PALESTINA,1186
BELA VISTA,1113
GURIGICA,1105
CRUZAMENTO,1025
PRAIA DO SUÁ,945
REDENÇÃO,931
SANTOS DUMONT,877
SANTA TEREZA,865
JOANA D´ARC,852
SÃO BENEDITO,826
CONSOLAÇÃO,808
INHANGUETÁ,785
GRANDE VITÓRIA,707
ILHA DAS CAIEIRAS,670
PRAIA DO CANTO,669
BENTO FERREIRA,659
MONTE BELO,625
VILA RUBIM,598
PARQUE MOSCOSO,594
REPÚBLICA,592
DO QUADRO,558
GOIABEIRAS,533
JUCUTUQUARA,480
CONQUISTA,472
FONTE GRANDE,469
MATA DA PRAIA,462
SANTA CLARA,381
DO CABRAL,362
SANTOS REIS,353
SANTA CECÍLIA,349
ESTRELINHA,344
SOLON BORGES,337
DO MOSCOSO,306
SANTA LÚCIA,298
BARRO VERMELHO,285
SANTA LUÍZA,284
PIEDADE,274
COMDUSA,237
DE LOURDES,222
BOA VISTA,221
FRADINHOS,193
ANTÔNIO HONÓRIO,180
ARIOVALDO FAVALESSA,175
MÁRIO CYPRESTE,173
ENSEADA DO SUÁ,163
SANTA HELENA,126
HORTO,114
UNIVERSITÁRIO,112
NAZARETH,108
SEGURANÇA DO LAR,103
MORADA DE CAMBURI,78
PONTAL DE CAMBURI,41
ILHA DO BOI,23
ILHA DO FRADE,8
AEROPORTO,5
ILHAS OCEÂNICAS DE TRINDADE,2
